Equipo Local,Equipo Visitante,Competicion,1,X,2
Eibar,Getafe, 1ª División,2.05,3.20,3.80
Celta de Vigo,Levante, 1ª División,1.95,3.75,3.50
Rayo Vallecano,Atlético de Madrid, 1ª División,5.00,3.40,1.75
Real Sociedad,Leganés, 1ª División,1.90,3.40,4.00
Barcelona,Valladolid, 1ª División,1.12,8.50,17.00
Real Madrid,Girona, 1ª División,1.15,7.50,15.00
Valencia,Espanyol, 1ª División,1.80,3.50,4.50
Villarreal,Sevilla, 1ª División,2.40,3.30,2.87
Real Betis,Alavés, 1ª División,1.72,3.60,5.00
Huesca,Athletic de Bilbao, 1ª División,3.00,3.10,2.45
Espanyol,Huesca, 1ª División,1.72,3.60,4.75
Getafe,Rayo Vallecano, 1ª División,1.75,3.40,5.00
Sevilla,Barcelona, 1ª División,3.75,4.00,1.83
Alavés,Celta de Vigo, 1ª División,2.25,3.25,3.20
Athletic de Bilbao,Eibar, 1ª División,2.05,3.20,3.80
Leganés,Valencia, 1ª División,2.80,3.10,2.60
Atlético de Madrid,Villarreal, 1ª División,1.57,3.75,6.25
Valladolid,Real Betis, 1ª División,3.00,3.10,2.45
Levante,Real Madrid, 1ª División,7.50,5.00,1.36
Girona,Real Sociedad, 1ª División,2.80,3.20,2.55
Real Madrid,Barcelona, Copa del Rey,2.55,3.50,2.60
Valencia,Real Betis, Copa del Rey,1.80,3.50,4.50
